source_file,derived_file,rows,condition,environment,run
/home/ghost/hmm_evt/data/cfs_pinned/docker_cpu3-baseline_cfs-run1.csv,/home/ghost/hmm_evt/results/derived/cfs_pinned/container/docker_cpu3-baseline_cfs-run1.csv,100001,cfs_pinned,container,docker_cpu3-baseline_cfs-run1
/home/ghost/hmm_evt/data/cfs_pinned/docker_cpu3-baseline_cfs-run10.csv,/home/ghost/hmm_evt/results/derived/cfs_pinned/container/docker_cpu3-baseline_cfs-run10.csv,100001,cfs_pinned,container,docker_cpu3-baseline_cfs-run10
/home/ghost/hmm_evt/data/cfs_pinned/docker_cpu3-baseline_cfs-run2.csv,/home/ghost/hmm_evt/results/derived/cfs_pinned/container/docker_cpu3-baseline_cfs-run2.csv,100001,cfs_pinned,container,docker_cpu3-baseline_cfs-run2
/home/ghost/hmm_evt/data/cfs_pinned/docker_cpu3-baseline_cfs-run3.csv,/home/ghost/hmm_evt/results/derived/cfs_pinned/container/docker_cpu3-baseline_cfs-run3.csv,100001,cfs_pinned,container,docker_cpu3-baseline_cfs-run3
/home/ghost/hmm_evt/data/cfs_pinned/docker_cpu3-baseline_cfs-run4.csv,/home/ghost/hmm_evt/results/derived/cfs_pinned/container/docker_cpu3-baseline_cfs-run4.csv,100001,cfs_pinned,container,docker_cpu3-baseline_cfs-run4
/home/ghost/hmm_evt/data/cfs_pinned/docker_cpu3-baseline_cfs-run5.csv,/home/ghost/hmm_evt/results/derived/cfs_pinned/container/docker_cpu3-baseline_cfs-run5.csv,100001,cfs_pinned,container,docker_cpu3-baseline_cfs-run5
/home/ghost/hmm_evt/data/cfs_pinned/docker_cpu3-baseline_cfs-run6.csv,/home/ghost/hmm_evt/results/derived/cfs_pinned/container/docker_cpu3-baseline_cfs-run6.csv,100001,cfs_pinned,container,docker_cpu3-baseline_cfs-run6
/home/ghost/hmm_evt/data/cfs_pinned/docker_cpu3-baseline_cfs-run7.csv,/home/ghost/hmm_evt/results/derived/cfs_pinned/container/docker_cpu3-baseline_cfs-run7.csv,100001,cfs_pinned,container,docker_cpu3-baseline_cfs-run7
/home/ghost/hmm_evt/data/cfs_pinned/docker_cpu3-baseline_cfs-run8.csv,/home/ghost/hmm_evt/results/derived/cfs_pinned/container/docker_cpu3-baseline_cfs-run8.csv,100001,cfs_pinned,container,docker_cpu3-baseline_cfs-run8
/home/ghost/hmm_evt/data/cfs_pinned/docker_cpu3-baseline_cfs-run9.csv,/home/ghost/hmm_evt/results/derived/cfs_pinned/container/docker_cpu3-baseline_cfs-run9.csv,100001,cfs_pinned,container,docker_cpu3-baseline_cfs-run9
/home/ghost/hmm_evt/data/cfs_pinned/host_cpu3-baseline_cfs-run1.csv,/home/ghost/hmm_evt/results/derived/cfs_pinned/host/host_cpu3-baseline_cfs-run1.csv,100001,cfs_pinned,host,host_cpu3-baseline_cfs-run1
/home/ghost/hmm_evt/data/cfs_pinned/host_cpu3-baseline_cfs-run10.csv,/home/ghost/hmm_evt/results/derived/cfs_pinned/host/host_cpu3-baseline_cfs-run10.csv,100001,cfs_pinned,host,host_cpu3-baseline_cfs-run10
/home/ghost/hmm_evt/data/cfs_pinned/host_cpu3-baseline_cfs-run2.csv,/home/ghost/hmm_evt/results/derived/cfs_pinned/host/host_cpu3-baseline_cfs-run2.csv,100001,cfs_pinned,host,host_cpu3-baseline_cfs-run2
/home/ghost/hmm_evt/data/cfs_pinned/host_cpu3-baseline_cfs-run3.csv,/home/ghost/hmm_evt/results/derived/cfs_pinned/host/host_cpu3-baseline_cfs-run3.csv,100001,cfs_pinned,host,host_cpu3-baseline_cfs-run3
/home/ghost/hmm_evt/data/cfs_pinned/host_cpu3-baseline_cfs-run4.csv,/home/ghost/hmm_evt/results/derived/cfs_pinned/host/host_cpu3-baseline_cfs-run4.csv,100001,cfs_pinned,host,host_cpu3-baseline_cfs-run4
/home/ghost/hmm_evt/data/cfs_pinned/host_cpu3-baseline_cfs-run5.csv,/home/ghost/hmm_evt/results/derived/cfs_pinned/host/host_cpu3-baseline_cfs-run5.csv,100001,cfs_pinned,host,host_cpu3-baseline_cfs-run5
/home/ghost/hmm_evt/data/cfs_pinned/host_cpu3-baseline_cfs-run6.csv,/home/ghost/hmm_evt/results/derived/cfs_pinned/host/host_cpu3-baseline_cfs-run6.csv,100001,cfs_pinned,host,host_cpu3-baseline_cfs-run6
/home/ghost/hmm_evt/data/cfs_pinned/host_cpu3-baseline_cfs-run7.csv,/home/ghost/hmm_evt/results/derived/cfs_pinned/host/host_cpu3-baseline_cfs-run7.csv,100001,cfs_pinned,host,host_cpu3-baseline_cfs-run7
/home/ghost/hmm_evt/data/cfs_pinned/host_cpu3-baseline_cfs-run8.csv,/home/ghost/hmm_evt/results/derived/cfs_pinned/host/host_cpu3-baseline_cfs-run8.csv,100001,cfs_pinned,host,host_cpu3-baseline_cfs-run8
