condition,environment,run,n_train,n_test,states,state_by_mean,test_observations,occupancy,miss_rate,mean_response_ns
interference,host,host_cpu3-interf_io-run4,70000,30001,4,2,126,0.004199860004666511,1.0,24078160.69047619
interference,host,host_cpu3-interf_io-run4,70000,30001,4,3,171,0.005699810006333122,1.0,99542849.12280701
interference,host,host_cpu3-interf_io-run4,70000,30001,5,0,29668,0.9889003699876671,0.0,603782.1006808683
interference,host,host_cpu3-interf_io-run4,70000,30001,5,1,36,0.0011999600013332889,0.16666666666666666,1397237.638888889
interference,host,host_cpu3-interf_io-run4,70000,30001,5,2,64,0.0021332622245925138,1.0,13996912.078125
interference,host,host_cpu3-interf_io-run4,70000,30001,5,3,86,0.00286657111429619,1.0,38736749.41860465
interference,host,host_cpu3-interf_io-run4,70000,30001,5,4,147,0.00489983667211093,1.0,107676956.62585033
interference,container,docker_cpu3-interf_io-run3,70000,30001,2,0,29838,0.994566847771741,0.0,603471.5901870099
interference,container,docker_cpu3-interf_io-run3,70000,30001,2,1,163,0.005433152228259058,0.012269938650306749,700013.7791411043
interference,container,docker_cpu3-interf_io-run3,70000,30001,3,0,29765,0.9921335955468151,0.0,603468.5233999664
interference,container,docker_cpu3-interf_io-run3,70000,30001,3,1,228,0.007599746675110829,0.0,611038.8464912281
interference,container,docker_cpu3-interf_io-run3,70000,30001,3,2,8,0.0002666577780740642,0.25,2366262.25
interference,container,docker_cpu3-interf_io-run3,70000,30001,4,0,29745,0.99146695110163,0.0,603467.4265254665
interference,container,docker_cpu3-interf_io-run3,70000,30001,4,1,209,0.006966434452184927,0.0,605551.9043062201
interference,container,docker_cpu3-interf_io-run3,70000,30001,4,2,47,0.001566614446185127,0.0425531914893617,931672.4255319149
interference,container,docker_cpu3-interf_io-run3,70000,30001,4,3,0,0.0,,
interference,container,docker_cpu3-interf_io-run3,70000,30001,5,0,29745,0.99146695110163,0.0,603467.4265254665
interference,container,docker_cpu3-interf_io-run3,70000,30001,5,1,209,0.006966434452184927,0.0,605551.9043062201
interference,container,docker_cpu3-interf_io-run3,70000,30001,5,2,47,0.001566614446185127,0.0425531914893617,931672.4255319149
interference,container,docker_cpu3-interf_io-run3,70000,30001,5,3,0,0.0,,
interference,container,docker_cpu3-interf_io-run3,70000,30001,5,4,0,0.0,,
interference,container,docker_cpu3-interf_io-run4,70000,30001,2,0,29689,0.9896003466551115,0.0,603301.43689582
interference,container,docker_cpu3-interf_io-run4,70000,30001,2,1,312,0.010399653344888503,0.5512820512820513,87579274.91987179
interference,container,docker_cpu3-interf_io-run4,70000,30001,3,0,29691,0.9896670110996301,0.0,603301.5617527197
interference,container,docker_cpu3-interf_io-run4,70000,30001,3,1,272,0.009066364454518182,0.49264705882352944,49425078.893382356
interference,container,docker_cpu3-interf_io-run4,70000,30001,3,2,38,0.001266624445851805,1.0,365260579.10526323
interference,container,docker_cpu3-interf_io-run4,70000,30001,4,0,29684,0.9894336855438152,0.0,603301.161433769
interference,container,docker_cpu3-interf_io-run4,70000,30001,4,1,208,0.006933102229925669,0.30288461538461536,11853854.826923076
interference,container,docker_cpu3-interf_io-run4,70000,30001,4,2,84,0.002799906669777674,1.0,178773334.30952382
interference,container,docker_cpu3-interf_io-run4,70000,30001,4,3,25,0.0008333055564814507,1.0,393807862.9200001
interference,container,docker_cpu3-interf_io-run4,70000,30001,5,0,29607,0.9868671044298524,0.0,603297.291113588
interference,container,docker_cpu3-interf_io-run4,70000,30001,5,1,211,0.007033098896703443,0.0,611785.1990521327
interference,container,docker_cpu3-interf_io-run4,70000,30001,5,2,75,0.002499916669444352,0.8533333333333334,32851219.746666666
interference,container,docker_cpu3-interf_io-run4,70000,30001,5,3,83,0.002766574447518416,1.0,179954247.06024095
interference,container,docker_cpu3-interf_io-run4,70000,30001,5,4,25,0.0008333055564814507,1.0,393807862.9200001
interference,container,docker_cpu3-interf_io-run5,70000,30001,2,0,29358,0.9785673810872971,0.0,605660.3028476054
interference,container,docker_cpu3-interf_io-run5,70000,30001,2,1,643,0.02143261891270291,0.9828926905132193,270146861.4634526
interference,container,docker_cpu3-interf_io-run5,70000,30001,3,0,29357,0.9785340488650378,0.0,605660.1869741458
interference,container,docker_cpu3-interf_io-run5,70000,30001,3,1,147,0.00489983667211093,0.9183673469387755,22197164.414965987
interference,container,docker_cpu3-interf_io-run5,70000,30001,3,2,497,0.01656611446285124,1.0,342941766.2253521
interference,container,docker_cpu3-interf_io-run5,70000,30001,4,0,25310,0.8436385453818206,0.0,605519.4039905176
interference,container,docker_cpu3-interf_io-run5,70000,30001,4,1,4049,0.13496216792773574,0.0,606542.061990615
interference,container,docker_cpu3-interf_io-run5,70000,30001,4,2,222,0.007399753341555282,0.954954954954955,36265294.265765764
interference,container,docker_cpu3-interf_io-run5,70000,30001,4,3,420,0.013999533348888371,1.0,394411730.5738095
interference,container,docker_cpu3-interf_io-run5,70000,30001,5,0,25310,0.8436385453818206,0.0,605519.4039905176
interference,container,docker_cpu3-interf_io-run5,70000,30001,5,1,4049,0.13496216792773574,0.0,606542.061990615
interference,container,docker_cpu3-interf_io-run5,70000,30001,5,2,145,0.004833172227592414,0.9310344827586207,22198855.048275862
interference,container,docker_cpu3-interf_io-run5,70000,30001,5,3,206,0.006866437785407153,1.0,99401609.54854369
interference,container,docker_cpu3-interf_io-run5,70000,30001,5,4,291,0.009699676677444086,1.0,515492290.7869416
interference,container,docker_cpu3-interf_io-run8,70000,30001,2,0,28315,0.9438018732708909,0.0,605656.7632703515
interference,container,docker_cpu3-interf_io-run8,70000,30001,2,1,1686,0.05619812672910903,0.9916963226571768,1035296120.6370107
interference,container,docker_cpu3-interf_io-run8,70000,30001,3,0,28312,0.9437018766041132,0.0,605656.3757770556
interference,container,docker_cpu3-interf_io-run8,70000,30001,3,1,615,0.020499316689443686,0.9723577235772358,140980107.71056908
interference,container,docker_cpu3-interf_io-run8,70000,30001,3,2,1074,0.03579880670644312,1.0,1544514265.4497206
interference,container,docker_cpu3-interf_io-run8,70000,30001,4,0,14153,0.4717509416352788,0.0,605575.1398290115
interference,container,docker_cpu3-interf_io-run8,70000,30001,4,1,14160,0.47198426719109365,0.0,605737.8718220339
