condition,environment,run,n_train,n_test,states,state_by_mean,test_observations,occupancy,miss_rate,mean_response_ns
interference,host,host_cpu3-interf_io-run5,70000,30001,5,3,182,0.006066464451184961,1.0,92706550.96153846
interference,host,host_cpu3-interf_io-run5,70000,30001,5,4,83,0.002766574447518416,1.0,376171234.61445785
interference,host,host_cpu3-interf_io-run6,69758,29897,2,0,29027,0.9709000903100645,0.0,593164.6239707859
interference,host,host_cpu3-interf_io-run6,69758,29897,2,1,870,0.029099909689935446,0.9770114942528736,670326114.5517242
interference,host,host_cpu3-interf_io-run6,69758,29897,3,0,29027,0.9709000903100645,0.0,593164.6239707859
interference,host,host_cpu3-interf_io-run6,69758,29897,3,1,484,0.016188915275780178,0.9586776859504132,121621897.34504132
interference,host,host_cpu3-interf_io-run6,69758,29897,3,2,386,0.012910994414155266,1.0,1358338656.3341968
interference,host,host_cpu3-interf_io-run6,69758,29897,4,0,14511,0.4853664247248888,0.0,593082.7364068638
interference,host,host_cpu3-interf_io-run6,69758,29897,4,1,14517,0.48556711375723316,0.0,593246.8748363988
interference,host,host_cpu3-interf_io-run6,69758,29897,4,2,480,0.01605512258755059,0.9604166666666667,119493937.22708334
interference,host,host_cpu3-interf_io-run6,69758,29897,4,3,389,0.013011338930327458,1.0,1351737868.537275
interference,host,host_cpu3-interf_io-run6,69758,29897,5,0,25015,0.8367060240157875,0.0,592979.2355786528
interference,host,host_cpu3-interf_io-run6,69758,29897,5,1,4014,0.13426096263839182,0.0,594321.3707025411
interference,host,host_cpu3-interf_io-run6,69758,29897,5,2,415,0.013880991403819782,0.9566265060240964,83475462.3686747
interference,host,host_cpu3-interf_io-run6,69758,29897,5,3,155,0.0051844666688965445,1.0,555280467.967742
interference,host,host_cpu3-interf_io-run6,69758,29897,5,4,298,0.009967555273104325,1.0,1551918584.637584
interference,host,host_cpu3-interf_io-run7,70000,30001,2,0,29192,0.9730342321922603,0.0,603803.1817963825
interference,host,host_cpu3-interf_io-run7,70000,30001,2,1,809,0.02696576780773974,0.9901112484548825,603294760.3967862
interference,host,host_cpu3-interf_io-run7,70000,30001,3,0,29191,0.973000899970001,0.0,603803.1683052996
interference,host,host_cpu3-interf_io-run7,70000,30001,3,1,459,0.015299490016999434,0.9803921568627451,108425898.583878
interference,host,host_cpu3-interf_io-run7,70000,30001,3,2,351,0.011699610012999566,1.0,1248713897.1737893
interference,host,host_cpu3-interf_io-run7,70000,30001,4,0,24063,0.8020732642245259,0.0,603500.1927440469
interference,host,host_cpu3-interf_io-run7,70000,30001,4,1,5129,0.1709609679677344,0.0,605224.6724507702
interference,host,host_cpu3-interf_io-run7,70000,30001,4,2,459,0.015299490016999434,0.9825708061002179,109471069.64923747
interference,host,host_cpu3-interf_io-run7,70000,30001,4,3,350,0.01166627779074031,1.0,1250909257.6914287
interference,host,host_cpu3-interf_io-run7,70000,30001,5,0,23856,0.7951734942168595,0.0,603492.0047367539
interference,host,host_cpu3-interf_io-run7,70000,30001,5,1,5336,0.1778607379754008,0.0,605194.3811844077
interference,host,host_cpu3-interf_io-run7,70000,30001,5,2,403,0.013432885570480984,0.9801488833746899,74715703.3349876
interference,host,host_cpu3-interf_io-run7,70000,30001,5,3,135,0.0044998500049998336,1.0,533019836.94814813
interference,host,host_cpu3-interf_io-run7,70000,30001,5,4,271,0.009033032232258926,1.0,1424344482.394834
