run,level,replication,requested_block_ns,actual_block_ns,measured_c_ns,measured_slack_ns,predicted_recovery_jobs,observed_recovery_jobs,recovery_error_jobs,deadline_misses,baseline_wakeup_ns,tolerance_ns
0236_c06_b10000000ns_run10,c06,10,10000000,10003581.0,600013.0,4399987.0,3,3,0,2,3405.0,50000.0
0237_c35_b00000000ns_run10,c35,10,0,0.0,3502554.0,1497446.0,0,0,0,0,3537.0,50000.0
0238_c06_b00000000ns_run10,c06,10,0,0.0,600027.5,4399972.5,0,0,0,0,3451.5,50000.0
0239_c25_b05000000ns_run10,c25,10,5000000,5003615.0,2502592.5,2497407.5,3,2,-1,2,3564.5,50000.0
0240_c15_b02000000ns_run10,c15,10,2000000,2003632.0,1502582.0,3497418.0,1,1,0,0,3541.0,50000.0
0241_c15_b05000000ns_run10,c15,10,5000000,5003455.0,1502571.0,3497429.0,2,2,0,1,3510.0,50000.0
0242_c35_b02000000ns_run10,c35,10,2000000,2003542.0,3502563.0,1497437.0,2,2,0,1,3485.5,50000.0
0243_c06_b20000000ns_run10,c06,10,20000000,20003549.0,600012.5,4399987.5,5,5,0,4,3426.5,50000.0
0244_c25_b20000000ns_run10,c25,10,20000000,20003458.0,2502612.0,2497388.0,9,9,0,8,3556.0,50000.0
0245_c15_b00000000ns_run10,c15,10,0,0.0,1502656.0,3497344.0,0,0,0,0,3512.0,50000.0
0246_c40_b02000000ns_run10,c40,10,2000000,2003532.0,4002589.0,997411.0,3,2,-1,2,3495.0,50000.0
0247_c40_b05000000ns_run10,c40,10,5000000,5003384.0,4002583.0,997417.0,6,6,0,5,3563.5,50000.0
0248_c35_b05000000ns_run10,c35,10,5000000,5004214.0,3502578.0,1497422.0,4,4,0,3,3516.5,50000.0
0249_c15_b20000000ns_run10,c15,10,20000000,20003485.0,1502621.0,3497379.0,6,6,0,5,3545.5,50000.0
0250_c25_b02000000ns_run10,c25,10,2000000,2003582.0,2502581.0,2497419.0,1,1,0,0,3540.0,50000.0
