job,release_ns,finish_ns,response_ns,lateness_ns,miss,response_us,lateness_us,inter_release_ns,response_error_ns,deadline_ns,miss_expected
0,542766617865451,542766618517481,652030,-2347970,0,652.03,-2347.97,,0,3000000,0
1,542766622865451,542766623514098,648647,-2351353,0,648.647,-2351.353,5000000.0,0,3000000,0
2,542766627865451,542766628514934,649483,-2350517,0,649.483,-2350.517,5000000.0,0,3000000,0
3,542766632865451,542766634597102,1731651,-1268349,0,1731.651,-1268.349,5000000.0,0,3000000,0
4,542766637865451,542766638516767,651316,-2348684,0,651.316,-2348.684,5000000.0,0,3000000,0
5,542766642865451,542766643513893,648442,-2351558,0,648.442,-2351.558,5000000.0,0,3000000,0
6,542766647865451,542766648514529,649078,-2350922,0,649.078,-2350.922,5000000.0,0,3000000,0
7,542766652865451,542766653514436,648985,-2351015,0,648.985,-2351.015,5000000.0,0,3000000,0
8,542766657865451,542766660596245,2730794,-269206,0,2730.794,-269.206,5000000.0,0,3000000,0
9,542766662865451,542766663513729,648278,-2351722,0,648.278,-2351.722,5000000.0,0,3000000,0
10,542766667865451,542766668513735,648284,-2351716,0,648.284,-2351.716,5000000.0,0,3000000,0
11,542766672865451,542766673514271,648820,-2351180,0,648.82,-2351.18,5000000.0,0,3000000,0
12,542766677865451,542766678514068,648617,-2351383,0,648.617,-2351.383,5000000.0,0,3000000,0
13,542766682865451,542766683514074,648623,-2351377,0,648.623,-2351.377,5000000.0,0,3000000,0
14,542766687865451,542766688513691,648240,-2351760,0,648.24,-2351.76,5000000.0,0,3000000,0
15,542766692865451,542766693515277,649826,-2350174,0,649.826,-2350.174,5000000.0,0,3000000,0
16,542766697865451,542766698513873,648422,-2351578,0,648.422,-2351.578,5000000.0,0,3000000,0
17,542766702865451,542766703514019,648568,-2351432,0,648.568,-2351.432,5000000.0,0,3000000,0
18,542766707865451,542766711596610,3731159,731159,1,3731.159,731.159,5000000.0,0,3000000,1
19,542766712865451,542766713514092,648641,-2351359,0,648.641,-2351.359,5000000.0,0,3000000,0
20,542766717865451,542766718518259,652808,-2347192,0,652.808,-2347.192,5000000.0,0,3000000,0
21,542766722865451,542766723514165,648714,-2351286,0,648.714,-2351.286,5000000.0,0,3000000,0
22,542766727865451,542766728513891,648440,-2351560,0,648.44,-2351.56,5000000.0,0,3000000,0
23,542766732865451,542766733513948,648497,-2351503,0,648.497,-2351.503,5000000.0,0,3000000,0
24,542766737865451,542766738513904,648453,-2351547,0,648.453,-2351.547,5000000.0,0,3000000,0
25,542766742865451,542766743513990,648539,-2351461,0,648.539,-2351.461,5000000.0,0,3000000,0
26,542766747865451,542766748513896,648445,-2351555,0,648.445,-2351.555,5000000.0,0,3000000,0
27,542766752865451,542766753513913,648462,-2351538,0,648.462,-2351.538,5000000.0,0,3000000,0
28,542766757865451,542766758513970,648519,-2351481,0,648.519,-2351.481,5000000.0,0,3000000,0
29,542766762865451,542766763514166,648715,-2351285,0,648.715,-2351.285,5000000.0,0,3000000,0
30,542766767865451,542766768513902,648451,-2351549,0,648.451,-2351.549,5000000.0,0,3000000,0
31,542766772865451,542766773514288,648837,-2351163,0,648.837,-2351.163,5000000.0,0,3000000,0
32,542766777865451,542766781596649,3731198,731198,1,3731.198,731.198,5000000.0,0,3000000,1
33,542766782865451,542766783514141,648690,-2351310,0,648.69,-2351.31,5000000.0,0,3000000,0
34,542766787865451,542766788514308,648857,-2351143,0,648.857,-2351.143,5000000.0,0,3000000,0
35,542766792865451,542766793513884,648433,-2351567,0,648.433,-2351.567,5000000.0,0,3000000,0
36,542766797865451,542766798513840,648389,-2351611,0,648.389,-2351.611,5000000.0,0,3000000,0
37,542766802865451,542766803513927,648476,-2351524,0,648.476,-2351.524,5000000.0,0,3000000,0
38,542766807865451,542766808515403,649952,-2350048,0,649.952,-2350.048,5000000.0,0,3000000,0
39,542766812865451,542766813513929,648478,-2351522,0,648.478,-2351.522,5000000.0,0,3000000,0
40,542766817865451,542766818515836,650385,-2349615,0,650.385,-2349.615,5000000.0,0,3000000,0
41,542766822865451,542766823514182,648731,-2351269,0,648.731,-2351.269,5000000.0,0,3000000,0
42,542766827865451,542766828513968,648517,-2351483,0,648.517,-2351.483,5000000.0,0,3000000,0
43,542766832865451,542766833513775,648324,-2351676,0,648.324,-2351.676,5000000.0,0,3000000,0
44,542766837865451,542766838514011,648560,-2351440,0,648.56,-2351.44,5000000.0,0,3000000,0
45,542766842865451,542766843513967,648516,-2351484,0,648.516,-2351.484,5000000.0,0,3000000,0
46,542766847865451,542766848513954,648503,-2351497,0,648.503,-2351.497,5000000.0,0,3000000,0
47,542766852865451,542766855596313,2730862,-269138,0,2730.862,-269.138,5000000.0,0,3000000,0
48,542766857865451,542766858513717,648266,-2351734,0,648.266,-2351.734,5000000.0,0,3000000,0
49,542766862865451,542766863513763,648312,-2351688,0,648.312,-2351.688,5000000.0,0,3000000,0
50,542766867865451,542766868513909,648458,-2351542,0,648.458,-2351.542,5000000.0,0,3000000,0
51,542766872865451,542766873513736,648285,-2351715,0,648.285,-2351.715,5000000.0,0,3000000,0
52,542766877865451,542766878513772,648321,-2351679,0,648.321,-2351.679,5000000.0,0,3000000,0
53,542766882865451,542766883513958,648507,-2351493,0,648.507,-2351.493,5000000.0,0,3000000,0
54,542766887865451,542766888514035,648584,-2351416,0,648.584,-2351.416,5000000.0,0,3000000,0
55,542766892865451,542766893513751,648300,-2351700,0,648.3,-2351.7,5000000.0,0,3000000,0
56,542766897865451,542766898513817,648366,-2351634,0,648.366,-2351.634,5000000.0,0,3000000,0
57,542766902865451,542766906596347,3730896,730896,1,3730.896,730.896,5000000.0,0,3000000,1
58,542766907865451,542766908513830,648379,-2351621,0,648.379,-2351.621,5000000.0,0,3000000,0
59,542766912865451,542766913514126,648675,-2351325,0,648.675,-2351.325,5000000.0,0,3000000,0
60,542766917865451,542766918515583,650132,-2349868,0,650.132,-2349.868,5000000.0,0,3000000,0
61,542766922865451,542766923514039,648588,-2351412,0,648.588,-2351.412,5000000.0,0,3000000,0
62,542766927865451,542766928513975,648524,-2351476,0,648.524,-2351.476,5000000.0,0,3000000,0
63,542766932865451,542766933513912,648461,-2351539,0,648.461,-2351.539,5000000.0,0,3000000,0
64,542766937865451,542766938514118,648667,-2351333,0,648.667,-2351.333,5000000.0,0,3000000,0
65,542766942865451,542766943513865,648414,-2351586,0,648.414,-2351.586,5000000.0,0,3000000,0
66,542766947865451,542766948513911,648460,-2351540,0,648.46,-2351.54,5000000.0,0,3000000,0
67,542766952865451,542766953514347,648896,-2351104,0,648.896,-2351.104,5000000.0,0,3000000,0
68,542766957865451,542766958513834,648383,-2351617,0,648.383,-2351.617,5000000.0,0,3000000,0
69,542766962865451,542766963513890,648439,-2351561,0,648.439,-2351.561,5000000.0,0,3000000,0
70,542766967865451,542766968514586,649135,-2350865,0,649.135,-2350.865,5000000.0,0,3000000,0
71,542766972865451,542766973513923,648472,-2351528,0,648.472,-2351.528,5000000.0,0,3000000,0
72,542766977865451,542766980596162,2730711,-269289,0,2730.711,-269.289,5000000.0,0,3000000,0
73,542766982865451,542766983513865,648414,-2351586,0,648.414,-2351.586,5000000.0,0,3000000,0
74,542766987865451,542766988514272,648821,-2351179,0,648.821,-2351.179,5000000.0,0,3000000,0
75,542766992865451,542766993514058,648607,-2351393,0,648.607,-2351.393,5000000.0,0,3000000,0
76,542766997865451,542766998514084,648633,-2351367,0,648.633,-2351.367,5000000.0,0,3000000,0
77,542767002865451,542767003514431,648980,-2351020,0,648.98,-2351.02,5000000.0,0,3000000,0
78,542767007865451,542767008513907,648456,-2351544,0,648.456,-2351.544,5000000.0,0,3000000,0
79,542767012865451,542767013513924,648473,-2351527,0,648.473,-2351.527,5000000.0,0,3000000,0
80,542767017865451,542767018515840,650389,-2349611,0,650.389,-2349.611,5000000.0,0,3000000,0
81,542767022865451,542767023513876,648425,-2351575,0,648.425,-2351.575,5000000.0,0,3000000,0
82,542767027865451,542767031596337,3730886,730886,1,3730.886,730.886,5000000.0,0,3000000,1
