view,environment,model,order,runs,total_test_observations,mean_test_loglik_per_obs,median_test_loglik_per_obs,median_train_bic,mean_temporal_gain_per_obs,median_temporal_gain_per_obs
raw,container,gaussian_hmm,5,10,300010,4.895698721059116,5.766459295495048,-798239.631458061,0.46559810961876086,0.4116459856351254
raw,container,gaussian_hmm,4,10,300010,4.880731498813963,5.747779928013966,-795851.3302135,0.39667417647424874,0.36704375758658736
raw,container,gaussian_hmm,3,10,300010,4.795265663986365,5.518903768712596,-784758.74246831,0.32558932046665,0.27372752779728304
raw,container,gaussian_hmm,2,10,300010,4.740281299432668,5.491441462293736,-780136.51254794,0.28861698210316417,0.2486085478960068
raw,container,gaussian_gmm,5,10,300010,4.375611848855273,5.1328440850660995,-723651.4844663704,0.0,0.0
raw,container,gaussian_gmm,4,10,300010,4.375051530258466,5.132150159032418,-723548.0053542128,0.0,0.0
raw,container,gaussian_gmm,3,10,300010,4.37301925641121,5.1317127999900745,-723408.5565827443,0.0,0.0
raw,container,gaussian_gmm,2,10,300010,4.349626675400902,5.126031586616943,-722167.1048281243,0.0,0.0
raw,container,ar1_gaussian,1,10,300000,0.06809192143398886,0.3930759524853178,,,
raw,container,iid_gaussian,1,10,300010,-1.641879507784266,-1.531731135292906,198672.70714969625,0.0,0.0
raw,host,gaussian_hmm,5,10,299906,4.291362753567802,4.927932870710054,-680993.2763613653,0.29881103788540714,0.220148064087235
raw,host,gaussian_hmm,4,10,299906,4.21508539789466,4.750220730747893,-664324.8214814132,0.2517166057350124,0.1515939583409592
raw,host,gaussian_hmm,3,10,299906,4.168186007062828,4.682547128137526,-660471.0601056999,0.22892959813473004,0.13460436284514699
raw,host,gaussian_hmm,2,10,299906,4.151668853274721,4.664313060565461,-658894.9000374898,0.2034537596396472,0.10971255593073562
raw,host,gaussian_gmm,5,10,299906,4.033651509464827,4.4976790968590965,-645467.8284265772,0.0,0.0
raw,host,gaussian_gmm,4,10,299906,4.027382407726494,4.497503076981943,-645471.7403528411,0.0,0.0
raw,host,gaussian_gmm,3,10,299906,4.026795507455733,4.49580159963644,-645365.72733836,0.0,0.0
raw,host,gaussian_gmm,2,10,299906,4.022568491045062,4.491525564683167,-645139.0969481445,0.0,0.0
raw,host,ar1_gaussian,1,10,299896,0.16734783641542056,0.4449856062569597,,,
raw,host,iid_gaussian,1,10,299906,-1.567778677756215,-1.3684915966422393,198672.70714969625,0.0,0.0
stable,container,gaussian_gmm,3,10,290470,-1.823322213581188,0.7756905102625116,-121216.28897060096,0.0,0.0
stable,container,ar1_gaussian,1,10,290348,-2.078709189604313,-1.1251527301313629,,,
stable,container,iid_gaussian,1,10,290470,-2.0823936702151906,-1.1331975864909054,192857.83760330838,0.0,0.0
stable,container,gaussian_gmm,5,10,290470,-19.484293985377285,0.8021606597786147,-126907.96235948222,0.0,0.0
stable,container,gaussian_hmm,5,10,290470,-19.591377585908468,0.8493748092295795,-150621.55383863414,0.5014792650250062,0.512668458782531
stable,container,gaussian_gmm,4,10,290470,-23.659141679932517,0.7992154875767045,-126282.35140472234,0.0,0.0
stable,container,gaussian_hmm,4,10,290470,-28.97974319053737,0.9072978625609108,-145678.24792192376,0.40457002418454957,0.3329920721014529
stable,container,gaussian_hmm,2,10,290470,-29.09164887384345,0.27323871284658463,-49483.1344029992,-0.011374174861951889,-1.0401278035087277e-15
stable,container,gaussian_gmm,2,10,290470,-29.186591433047802,0.5450202551602961,-74303.84691895543,0.0,0.0
stable,container,gaussian_hmm,3,10,290470,-32.98544922881133,0.787450209669997,-109868.69927779463,-0.13319002010143438,0.07888104594329062
stable,host,gaussian_gmm,4,10,293076,0.0010081797375883772,0.26036227679269247,-25044.19580952578,0.0,0.0
stable,host,gaussian_hmm,5,10,293076,-0.0006650137020435487,0.30116537339093175,-40387.15851082385,0.060970408335318194,0.049171057312495395
stable,host,gaussian_gmm,5,10,293076,-0.0008310868736798316,0.2857366395281989,-25073.440369847714,0.0,0.0
stable,host,gaussian_hmm,4,10,293076,-0.06661414652669498,0.21539133368916924,-31429.93411086968,0.051174952969398724,0.03317204472744084
stable,host,gaussian_gmm,3,10,293076,-0.14174012200006572,0.22815444697034315,-21344.497267286453,0.0,0.0
stable,host,gaussian_hmm,3,10,293076,-0.1526337008778175,0.17756217952734393,-16791.515547842828,0.03022997455748281,0.003905843290759479
stable,host,gaussian_gmm,2,10,293076,-0.3204527908187735,0.07191772230052347,4146.992101121503,0.0,0.0
stable,host,gaussian_hmm,2,10,293076,-0.3603260616520445,-0.015198493166154556,12497.864661615691,-0.024246530595253064,1.1676500051762288e-05
stable,host,iid_gaussian,1,10,293076,-1.5821066425228905,-1.2282482087415767,194803.22238189352,0.0,0.0
stable,host,ar1_gaussian,1,10,292960,-1.5898920707966049,-1.2275491875387492,,,
