condition,environment,run,sensitivity,order_gmm,order_hmm,train_bic_gmm,train_bic_hmm,test_loglik_per_obs_gmm,test_loglik_per_obs_hmm,temporal_gain_per_obs_gmm,temporal_gain_per_obs_hmm,n_train_gmm,n_train_hmm,n_test_gmm,n_test_hmm,kept_fraction_gmm,kept_fraction_hmm,run_number,hmm_minus_gmm_test_loglik_per_obs,hmm_wins
interference,container,docker_cpu3-interf_io-run1,base_stable,4.0,4.0,-107569.80182287989,-115467.84364701158,0.7597980613450848,0.8294331540146254,0.0,0.12796112755801484,69978.0,69978.0,29993.0,29993.0,0.99970000299997,0.99970000299997,1,0.0696350926695406,True
interference,container,docker_cpu3-interf_io-run1,cap_1000us,5.0,5.0,42249.50178232501,27649.05870590027,-0.31024480713742086,-0.2185719577364743,0.0,0.1554996774069383,69973.0,69973.0,29988.0,29988.0,0.99960000399996,0.99960000399996,1,0.09167284940094655,True
interference,container,docker_cpu3-interf_io-run1,cap_1500us,5.0,5.0,18870.375806392876,5357.37512063156,-0.149602848117792,-0.06500531224853451,0.0,0.15114632217470578,69974.0,69974.0,29991.0,29991.0,0.999640003599964,0.999640003599964,1,0.0845975358692575,True
interference,container,docker_cpu3-interf_io-run1,cap_2000us,5.0,5.0,-51982.85756231266,-57574.44411912466,0.36265843479167004,0.393695432394804,0.0,0.10912796413056927,69976.0,69976.0,29992.0,29992.0,0.999670003299967,0.999670003299967,1,0.031036997603133942,True
interference,container,docker_cpu3-interf_io-run1,cap_2500us,4.0,5.0,-82916.66065621444,-95168.92003434393,0.5843020482749957,0.6653673303352525,0.0,0.15566531817514942,69977.0,69977.0,29993.0,29993.0,0.999690003099969,0.999690003099969,1,0.08106528206025687,True
interference,container,docker_cpu3-interf_io-run1,train_q_0.999,5.0,5.0,175212.31146173476,153634.3291785519,-1.2569405882985911,-1.135300039384765,0.0,0.20139921962094112,69908.0,69908.0,29946.0,29946.0,0.998530014699853,0.998530014699853,1,0.12164054891382614,True
interference,container,docker_cpu3-interf_io-run1,train_q_0.9995,5.0,5.0,127514.74737583994,112128.54967268501,-0.919382031218188,-0.8253753770363652,0.0,0.16287789997900642,69943.0,69943.0,29973.0,29973.0,0.999150008499915,0.999150008499915,1,0.09400665418182275,True
interference,container,docker_cpu3-interf_io-run1,train_q_0.9999,5.0,5.0,51762.04302287048,31659.9729997074,-0.37725920519365314,-0.2596130956385744,0.0,0.1969207222794959,69971.0,69971.0,29986.0,29986.0,0.999560004399956,0.999560004399956,1,0.11764610955507876,True
interference,container,docker_cpu3-interf_io-run10,base_stable,5.0,5.0,31630.960868241567,-8738.157002792452,-0.3126324775321303,0.04340849873751356,0.0,0.8682578548026904,67640.0,67640.0,26831.0,26831.0,0.9447005529944701,0.9447005529944701,10,0.35604097626964387,True
interference,container,docker_cpu3-interf_io-run10,cap_1000us,5.0,5.0,31630.960868241567,-8738.157002792452,-0.3126324775321303,0.04340849873751356,0.0,0.8721938916227431,67640.0,67640.0,26831.0,26831.0,0.9447005529944701,0.9447005529944701,10,0.35604097626964387,True
