condition,environment,run,sensitivity,mask_type,cap_response_ns,cap_response_us,observations,kept,kept_fraction,train_kept,test_kept,misses,delta_mad_ns,shock_threshold_ns
interference,host,host_cpu3-interf_io-run4,train_q_0.9999,train_quantile,676953.6140001509,676.9536140001509,100001,99214,0.992130078699213,69613,29601,569,528.0,1000000.0
interference,container,docker_cpu3-interf_io-run7,base_stable,base,,,100001,94586,0.945850541494585,66099,28487,5085,130.0,1000000.0
interference,container,docker_cpu3-interf_io-run7,cap_2500us,fixed_cap,2500000.0,2500.0,100001,94586,0.945850541494585,66099,28487,5085,130.0,1000000.0
interference,container,docker_cpu3-interf_io-run7,cap_2000us,fixed_cap,2000000.0,2000.0,100001,94585,0.9458405415945841,66098,28487,5085,130.0,1000000.0
interference,container,docker_cpu3-interf_io-run7,cap_1500us,fixed_cap,1500000.0,1500.0,100001,94585,0.9458405415945841,66098,28487,5085,130.0,1000000.0
interference,container,docker_cpu3-interf_io-run7,cap_1000us,fixed_cap,1000000.0,1000.0,100001,94585,0.9458405415945841,66098,28487,5085,130.0,1000000.0
interference,container,docker_cpu3-interf_io-run7,train_q_0.999,train_quantile,603586.51,603.58651,100001,94503,0.945020549794502,66032,28471,5085,130.0,1000000.0
interference,container,docker_cpu3-interf_io-run7,train_q_0.9995,train_quantile,603908.804,603.908804,100001,94543,0.945420545794542,66065,28478,5085,130.0,1000000.0
interference,container,docker_cpu3-interf_io-run7,train_q_0.9999,train_quantile,605825.5317999994,605.8255317999995,100001,94578,0.945770542294577,66092,28486,5085,130.0,1000000.0
interference,container,docker_cpu3-interf_io-run10,base_stable,base,,,100001,94471,0.9447005529944701,67640,26831,5182,130.0,1000000.0
interference,container,docker_cpu3-interf_io-run10,cap_2500us,fixed_cap,2500000.0,2500.0,100001,94471,0.9447005529944701,67640,26831,5182,130.0,1000000.0
interference,container,docker_cpu3-interf_io-run10,cap_2000us,fixed_cap,2000000.0,2000.0,100001,94471,0.9447005529944701,67640,26831,5182,130.0,1000000.0
interference,container,docker_cpu3-interf_io-run10,cap_1500us,fixed_cap,1500000.0,1500.0,100001,94471,0.9447005529944701,67640,26831,5182,130.0,1000000.0
interference,container,docker_cpu3-interf_io-run10,cap_1000us,fixed_cap,1000000.0,1000.0,100001,94471,0.9447005529944701,67640,26831,5182,130.0,1000000.0
interference,container,docker_cpu3-interf_io-run10,train_q_0.999,train_quantile,601571.444,601.571444,100001,94392,0.9439105608943911,67572,26820,5182,130.0,1000000.0
interference,container,docker_cpu3-interf_io-run10,train_q_0.9995,train_quantile,602215.9855000001,602.2159855000001,100001,94436,0.944350556494435,67606,26830,5182,130.0,1000000.0
interference,container,docker_cpu3-interf_io-run10,train_q_0.9999,train_quantile,611710.7775999999,611.7107775999999,100001,94464,0.944630553694463,67633,26831,5182,130.0,1000000.0
interference,container,docker_cpu3-interf_io-run6,base_stable,base,,,100001,97217,0.9721602783972161,68259,28958,2424,80.0,1000000.0
interference,container,docker_cpu3-interf_io-run6,cap_2500us,fixed_cap,2500000.0,2500.0,100001,97217,0.9721602783972161,68259,28958,2424,80.0,1000000.0
interference,container,docker_cpu3-interf_io-run6,cap_2000us,fixed_cap,2000000.0,2000.0,100001,97217,0.9721602783972161,68259,28958,2424,80.0,1000000.0
interference,container,docker_cpu3-interf_io-run6,cap_1500us,fixed_cap,1500000.0,1500.0,100001,97217,0.9721602783972161,68259,28958,2424,80.0,1000000.0
interference,container,docker_cpu3-interf_io-run6,cap_1000us,fixed_cap,1000000.0,1000.0,100001,97217,0.9721602783972161,68259,28958,2424,80.0,1000000.0
interference,container,docker_cpu3-interf_io-run6,train_q_0.999,train_quantile,603881.0,603.881,100001,97145,0.971440285597144,68191,28954,2424,80.0,1000000.0
interference,container,docker_cpu3-interf_io-run6,train_q_0.9995,train_quantile,604048.355,604.048355,100001,97178,0.971770282297177,68224,28954,2424,80.0,1000000.0
interference,container,docker_cpu3-interf_io-run6,train_q_0.9999,train_quantile,607728.0197999995,607.7280197999995,100001,97210,0.972090279097209,68252,28958,2424,80.0,1000000.0
interference,host,host_cpu3-interf_io-run3,base_stable,base,,,100001,99659,0.996580034199658,69737,29922,222,679.0,1000000.0
interference,host,host_cpu3-interf_io-run3,cap_2500us,fixed_cap,2500000.0,2500.0,100001,99657,0.996560034399656,69735,29922,222,679.0,1000000.0
interference,host,host_cpu3-interf_io-run3,cap_2000us,fixed_cap,2000000.0,2000.0,100001,99652,0.996510034899651,69730,29922,222,679.0,1000000.0
interference,host,host_cpu3-interf_io-run3,cap_1500us,fixed_cap,1500000.0,1500.0,100001,99651,0.99650003499965,69730,29921,222,679.0,1000000.0
interference,host,host_cpu3-interf_io-run3,cap_1000us,fixed_cap,1000000.0,1000.0,100001,99648,0.996470035299647,69727,29921,222,679.0,1000000.0
interference,host,host_cpu3-interf_io-run3,train_q_0.999,train_quantile,611022.9039999988,611.0229039999988,100001,99551,0.99550004499955,69667,29884,222,679.0,1000000.0
interference,host,host_cpu3-interf_io-run3,train_q_0.9995,train_quantile,635711.9879999886,635.7119879999887,100001,99602,0.996010039899601,69702,29900,222,679.0,1000000.0
interference,host,host_cpu3-interf_io-run3,train_q_0.9999,train_quantile,1276678.6744021398,1276.67867440214,100001,99651,0.99650003499965,69730,29921,222,679.0,1000000.0
interference,container,docker_cpu3-interf_io-run4,base_stable,base,,,100001,97442,0.974410255897441,67643,29799,2307,90.0,1000000.0
interference,container,docker_cpu3-interf_io-run4,cap_2500us,fixed_cap,2500000.0,2500.0,100001,97441,0.9744002559974401,67643,29798,2307,90.0,1000000.0
interference,container,docker_cpu3-interf_io-run4,cap_2000us,fixed_cap,2000000.0,2000.0,100001,97441,0.9744002559974401,67643,29798,2307,90.0,1000000.0
interference,container,docker_cpu3-interf_io-run4,cap_1500us,fixed_cap,1500000.0,1500.0,100001,97441,0.9744002559974401,67643,29798,2307,90.0,1000000.0
interference,container,docker_cpu3-interf_io-run4,cap_1000us,fixed_cap,1000000.0,1000.0,100001,97440,0.974390256097439,67642,29798,2307,90.0,1000000.0
interference,container,docker_cpu3-interf_io-run4,train_q_0.999,train_quantile,603949.074,603.949074,100001,96853,0.9685203147968521,67575,29278,2307,90.0,1000000.0
interference,container,docker_cpu3-interf_io-run4,train_q_0.9995,train_quantile,604030.0,604.03,100001,97018,0.9701702982970171,67610,29408,2307,90.0,1000000.0
interference,container,docker_cpu3-interf_io-run4,train_q_0.9999,train_quantile,605263.744999996,605.263744999996,100001,97311,0.9731002689973101,67636,29675,2307,90.0,1000000.0
interference,container,docker_cpu3-interf_io-run2,base_stable,base,,,100001,99955,0.999540004599954,69978,29977,10,419.0,1000000.0
interference,container,docker_cpu3-interf_io-run2,cap_2500us,fixed_cap,2500000.0,2500.0,100001,99952,0.999510004899951,69976,29976,10,419.0,1000000.0
interference,container,docker_cpu3-interf_io-run2,cap_2000us,fixed_cap,2000000.0,2000.0,100001,99949,0.999480005199948,69973,29976,10,419.0,1000000.0
interference,container,docker_cpu3-interf_io-run2,cap_1500us,fixed_cap,1500000.0,1500.0,100001,99946,0.999450005499945,69970,29976,10,419.0,1000000.0
interference,container,docker_cpu3-interf_io-run2,cap_1000us,fixed_cap,1000000.0,1000.0,100001,99942,0.999410005899941,69967,29975,10,419.0,1000000.0
interference,container,docker_cpu3-interf_io-run2,train_q_0.999,train_quantile,629549.0580000011,629.5490580000011,100001,99849,0.998480015199848,69908,29941,10,419.0,1000000.0
interference,container,docker_cpu3-interf_io-run2,train_q_0.9995,train_quantile,656646.203500011,656.646203500011,100001,99906,0.999050009499905,69943,29963,10,419.0,1000000.0
interference,container,docker_cpu3-interf_io-run2,train_q_0.9999,train_quantile,1689295.5549008618,1689.2955549008618,100001,99947,0.999460005399946,69971,29976,10,419.0,1000000.0
interference,host,host_cpu3-interf_io-run10,base_stable,base,,,100001,96644,0.966430335696643,68170,28474,3033,276.0,1000000.0
interference,host,host_cpu3-interf_io-run10,cap_2500us,fixed_cap,2500000.0,2500.0,100001,96644,0.966430335696643,68170,28474,3033,276.0,1000000.0
interference,host,host_cpu3-interf_io-run10,cap_2000us,fixed_cap,2000000.0,2000.0,100001,96644,0.966430335696643,68170,28474,3033,276.0,1000000.0
interference,host,host_cpu3-interf_io-run10,cap_1500us,fixed_cap,1500000.0,1500.0,100001,96644,0.966430335696643,68170,28474,3033,276.0,1000000.0
interference,host,host_cpu3-interf_io-run10,cap_1000us,fixed_cap,1000000.0,1000.0,100001,96644,0.966430335696643,68170,28474,3033,276.0,1000000.0
interference,host,host_cpu3-interf_io-run10,train_q_0.999,train_quantile,598446.831,598.446831,100001,96541,0.96540034599654,68101,28440,3033,276.0,1000000.0
interference,host,host_cpu3-interf_io-run10,train_q_0.9995,train_quantile,598744.5495000001,598.7445495000001,100001,96586,0.965850341496585,68135,28451,3033,276.0,1000000.0
interference,host,host_cpu3-interf_io-run10,train_q_0.9999,train_quantile,600738.9156999992,600.7389156999992,100001,96625,0.9662403375966241,68163,28462,3033,276.0,1000000.0
interference,host,host_cpu3-interf_io-run1,base_stable,base,,,100001,99980,0.999790002099979,69986,29994,3,600.0,1000000.0
interference,host,host_cpu3-interf_io-run1,cap_2500us,fixed_cap,2500000.0,2500.0,100001,99978,0.999770002299977,69985,29993,3,600.0,1000000.0
interference,host,host_cpu3-interf_io-run1,cap_2000us,fixed_cap,2000000.0,2000.0,100001,99977,0.999760002399976,69984,29993,3,600.0,1000000.0
interference,host,host_cpu3-interf_io-run1,cap_1500us,fixed_cap,1500000.0,1500.0,100001,99975,0.999740002599974,69982,29993,3,600.0,1000000.0
interference,host,host_cpu3-interf_io-run1,cap_1000us,fixed_cap,1000000.0,1000.0,100001,99975,0.999740002599974,69982,29993,3,600.0,1000000.0
interference,host,host_cpu3-interf_io-run1,train_q_0.999,train_quantile,646132.5999999995,646.1325999999995,100001,99879,0.998780012199878,69916,29963,3,600.0,1000000.0
interference,host,host_cpu3-interf_io-run1,train_q_0.9995,train_quantile,661697.4275000005,661.6974275000005,100001,99935,0.999340006599934,69951,29984,3,600.0,1000000.0
interference,host,host_cpu3-interf_io-run1,train_q_0.9999,train_quantile,722342.5719999893,722.3425719999893,100001,99969,0.999680003199968,69979,29990,3,600.0,1000000.0
interference,container,docker_cpu3-interf_io-run1,base_stable,base,,,100001,99971,0.99970000299997,69978,29993,6,432.0,1000000.0
interference,container,docker_cpu3-interf_io-run1,cap_2500us,fixed_cap,2500000.0,2500.0,100001,99970,0.999690003099969,69977,29993,6,432.0,1000000.0
interference,container,docker_cpu3-interf_io-run1,cap_2000us,fixed_cap,2000000.0,2000.0,100001,99968,0.999670003299967,69976,29992,6,432.0,1000000.0
interference,container,docker_cpu3-interf_io-run1,cap_1500us,fixed_cap,1500000.0,1500.0,100001,99965,0.999640003599964,69974,29991,6,432.0,1000000.0
interference,container,docker_cpu3-interf_io-run1,cap_1000us,fixed_cap,1000000.0,1000.0,100001,99961,0.99960000399996,69973,29988,6,432.0,1000000.0
interference,container,docker_cpu3-interf_io-run1,train_q_0.999,train_quantile,631489.0610000003,631.4890610000003,100001,99854,0.998530014699853,69908,29946,6,432.0,1000000.0
interference,container,docker_cpu3-interf_io-run1,train_q_0.9995,train_quantile,660302.914000008,660.3029140000081,100001,99916,0.999150008499915,69943,29973,6,432.0,1000000.0
interference,container,docker_cpu3-interf_io-run1,train_q_0.9999,train_quantile,753945.9391000961,753.9459391000961,100001,99957,0.999560004399956,69971,29986,6,432.0,1000000.0
interference,host,host_cpu3-interf_io-run5,base_stable,base,,,100001,98708,0.987070129298707,69103,29605,1089,595.0,1000000.0
interference,host,host_cpu3-interf_io-run5,cap_2500us,fixed_cap,2500000.0,2500.0,100001,98708,0.987070129298707,69103,29605,1089,595.0,1000000.0
interference,host,host_cpu3-interf_io-run5,cap_2000us,fixed_cap,2000000.0,2000.0,100001,98707,0.987060129398706,69102,29605,1089,595.0,1000000.0
interference,host,host_cpu3-interf_io-run5,cap_1500us,fixed_cap,1500000.0,1500.0,100001,98705,0.987040129598704,69101,29604,1089,595.0,1000000.0
interference,host,host_cpu3-interf_io-run5,cap_1000us,fixed_cap,1000000.0,1000.0,100001,98705,0.987040129598704,69101,29604,1089,595.0,1000000.0
interference,host,host_cpu3-interf_io-run5,train_q_0.999,train_quantile,611225.594,611.225594,100001,98626,0.986250137498625,69033,29593,1089,595.0,1000000.0
interference,host,host_cpu3-interf_io-run5,train_q_0.9995,train_quantile,613260.7820000025,613.2607820000025,100001,98663,0.986620133798662,69068,29595,1089,595.0,1000000.0
interference,host,host_cpu3-interf_io-run5,train_q_0.9999,train_quantile,701633.6014000099,701.63360140001,100001,98700,0.986990130098699,69096,29604,1089,595.0,1000000.0
interference,host,host_cpu3-interf_io-run7,base_stable,base,,,100001,95700,0.9569904300956991,66584,29116,3971,700.0,1000000.0
interference,host,host_cpu3-interf_io-run7,cap_2500us,fixed_cap,2500000.0,2500.0,100001,95700,0.9569904300956991,66584,29116,3971,700.0,1000000.0
interference,host,host_cpu3-interf_io-run7,cap_2000us,fixed_cap,2000000.0,2000.0,100001,95700,0.9569904300956991,66584,29116,3971,700.0,1000000.0
