condition,environment,run,n,period_ns,deadline_ns,baseline_response_ns,expected_recovery_slope_ns_per_activation,delta_mad_ns,shock_threshold_ns,shock_job_index,shock_release_ns,response_before_ns,response_after_ns,shock_amplitude_ns,is_deadline_miss_after_shock
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,45575,91225289726762,598397.0,81892907.0,81294510.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,46560,91230214726762,598308.0,64303921.0,63705613.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,49366,91244244726762,598609.0,135851191.0,135252582.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,49592,91245374726762,599091.0,4837036.0,4237945.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,50654,91250684726762,598375.0,3332677.0,2734302.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,51640,91255614726762,598490.0,9166344.0,8567854.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,52702,91260924726762,598576.0,40958082.0,40359506.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,54750,91271164726762,598340.0,113806646.0,113208306.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,55735,91276089726762,598715.0,62370179.0,61771464.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,56796,91281394726762,598585.0,6100551.0,5501966.0,True
