environment,runs,total_shocks,total_episodes,median_miss_rate,median_max_response_ns,median_expected_slope_ns,median_observed_slope_ns,median_recovery_r2,median_fraction_near_expected
container,10,420,391,0.023654763452365477,1681586891.5,-4396859.0,-4391832.333813185,0.9999999995587655,1.0
host,10,376,356,0.017099829001709983,1468996166.5,-4396511.5,-4391351.29551518,0.999999998761274,1.0
