condition,environment,run,n,period_ns,deadline_ns,baseline_response_ns,expected_recovery_slope_ns_per_activation,delta_mad_ns,shock_threshold_ns,episode_id,start_index,end_index,peak_index,start_release_ns,end_release_ns,activations,duration_us,peak_response_ns,onset_jump_ns,shocks_inside_episode,recovery_activations,observed_recovery_slope_ns_per_activation,recovery_slope_error_ns,recovery_r2,fraction_recovery_steps_near_expected,excess_latency_area_ns
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,19,34129,34131,34129,91168059726762,91168069726762,3,15000.0,14063047.0,13464530.0,1,3,-4398985.499999999,2523.5000000009313,0.9999999745502454,1.0,19993400.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,20,35115,35151,35115,91172989726762,91173169726762,37,185000.0,162936011.0,162337671.0,1,37,-4398850.164295872,2658.835704128258,0.9999999997271981,1.0,2988085909.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,21,35341,35355,35341,91174119726762,91174189726762,15,75000.0,67071043.0,66472654.0,1,15,-4398770.464285714,2738.5357142863795,0.9999999974879976,1.0,499231701.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,22,36251,36290,36251,91178669726762,91178864726762,40,200000.0,175994713.0,175396267.0,1,40,-4398578.028236396,2930.9717636043206,0.9999999997288486,1.0,3488935567.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,23,38297,38324,38297,91188899726762,91189034726762,28,140000.0,123214691.0,122616128.0,1,28,-4398815.325670496,2693.6743295043707,0.9999999994721362,1.0,1703330144.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,24,39206,39238,39206,91193444726762,91193604726762,33,165000.0,145171711.0,144573234.0,1,33,-4398847.625668447,2661.3743315525353,0.9999999996518756,1.0,2369157059.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,25,40266,40279,40266,91198744726762,91198809726762,14,70000.0,63562659.0,62964320.0,1,14,-4398847.742857143,2661.257142856717,0.9999999987408046,1.0,447575973.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,26,43300,43317,43300,91213914726762,91213999726762,18,90000.0,79069074.0,78468994.0,1,18,-4398870.318885449,2638.68111455068,0.9999999991185259,1.0,696210841.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,27,45575,45592,45575,91225289726762,91225374726762,18,90000.0,81892907.0,81294510.0,1,18,-4398814.751289988,2694.2487100120634,0.9999999988013993,1.0,747086828.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,28,46560,46573,46560,91230214726762,91230279726762,14,70000.0,64303921.0,63705613.0,1,14,-4398883.578021979,2625.4219780210406,0.9999999986458985,1.0,457948810.0
